Date,Close,High,Low,Open,Volume,Symbol,Revenue,daily_return,Price_change,Volatility,Average_price,Net_Profit,Operating_Margin,Price_Change
2015-04-16,1050.1929931640625,1068.1651466956368,1045.5373255686443,1068.1447963287408,3217570,TCS,3379069469.0148926,-1.6806525881490393,22.627821126992558,2.154634555199095,1059.1688947464017,675813893.8029785,20.0,-17.951803164678267
2015-04-17,1006.2991943359375,1040.9220097571408,1004.3270953516163,1039.7428800009861,9668742,TCS,9729647284.842041,-3.2165342324841806,36.59491440552449,3.636583891898441,1023.0210371684618,1945929456.9684083,20.0,-33.44368566504863
2015-04-20,987.57470703125,1009.9788657101059,985.9686168661768,1008.4134762661947,2890722,TCS,2854803932.258789,-2.066490554261874,24.01024884392905,2.4312336750812804,997.9940916487224,570960786.4517578,20.0,-20.83876923494472
2015-04-21,986.863037109375,997.0079389836053,976.2708244288892,987.5746047656643,2546032,TCS,2512584872.0976562,-0.07205204071221732,20.737114554716072,2.1013163706543563,987.2188209375197,502516974.4195313,20.0,-0.7115676562892759
2015-04-22,994.2025146484375,1005.5468980931851,978.9342837053042,988.672576916126,4186812,TCS,4162539018.760254,0.5593295355233304,26.612614387880853,2.6767800318118695,991.4375457822817,832507803.7520509,20.0,5.5299377323115095
2015-04-23,999.1429443359375,1008.3120244788013,988.7540335559763,1005.1404449683336,4342990,TCS,4339267815.821533,-0.5966828478964452,19.557990922824956,1.957476758825918,1002.1416946521356,867853563.1643066,20.0,-5.997500632396054
2015-04-24,1013.69970703125,1022.2181719434291,995.1989405939286,998.3501700420438,3625158,TCS,3674821602.541992,1.5374902964718031,27.0192313495005,2.665407828579708,1006.0249385366469,734964320.5083985,20.000000000000004,15.349536989206172
2015-04-27,1016.6067504882812,1024.657651892881,1010.8329057959133,1016.3221432167682,2733052,TCS,2778439112.635498,0.028003647604516752,13.824746096967601,1.3598912352615706,1016.4644468525247,555687822.5270996,20.0,0.28460727151309584
2015-04-28,1014.4927978515625,1020.5919529488664,998.2690850007748,1020.5919529488664,3088298,TCS,3133056078.619385,-0.5976095617529779,22.322867948091584,2.200396887525051,1017.5423754002145,626611215.723877,20.0,-6.099155097303878
2015-04-29,1011.3616333007812,1014.4925121817562,996.6220126328099,1010.0197997031994,2019620,TCS,2042566181.8469238,0.1328522072513984,17.870499548946327,1.7669742415106624,1010.6907165019903,408513236.36938477,20.0,1.3418335975818536
2015-04-30,1001.7653198242188,1012.4591856958186,986.8834491868629,1008.3930845484458,3738054,TCS,3744652860.8302,-0.6572600333921318,25.575736508955742,2.553066671687492,1005.0792021863323,748930572.1660401,20.0,-6.627764724227063
2015-05-04,1009.0238037109375,1018.47749312871,999.1228032578356,1012.8662511686589,1890630,TCS,1907690674.0100098,-0.3793637563980361,19.35468987087438,1.9181598887650289,1010.9450274397982,381538134.80200195,20.0,-3.8424474577213914
2015-05-05,1023.7835693359375,1031.3464597713441,1016.5255372916464,1016.9321475065631,3255070,TCS,3332487183.03833,0.6737344124849994,14.820922479697742,1.4476616858884657,1020.3578584212503,666497436.607666,20.0,6.851421829374431
2015-05-06,1001.5011596679688,1022.6245373143471,998.5532360514561,1022.6245373143471,3394406,TCS,3399501545.383911,-2.0656044203528805,24.071301262890984,2.4035220559176818,1012.0628484911579,679900309.0767822,20.0,-21.123377646378344
2015-05-07,1034.9246826171875,1038.3808695545201,997.6994963969595,1002.2535110956652,3205028,TCS,3316962585.679199,3.2597712215351704,40.68137315756064,3.930853504690103,1018.5890968564263,663392517.1358399,20.000000000000004,32.6711715215223
2015-05-08,1027.6053466796875,1052.3069095685157,1023.152986062376,1040.921827084776,3003664,TCS,3086581186.029297,-1.279296875,29.153923506139677,2.837073940918992,1034.2635868822317,617316237.2058594,20.0,-13.316480405088441
2015-05-11,1039.2957763671875,1042.162398421277,1026.6908588916856,1030.7569613031378,2573082,TCS,2674193254.8464355,0.8284023668639076,15.471539529591382,1.4886560574383807,1035.0263688351627,534838650.96928716,20.0,8.538815064049686
2015-05-12,1025.8367919921875,1042.955120421359,1021.8113908845518,1040.9220695043584,2467386,TCS,2531135338.8464355,-1.4492225646972672,21.1437295368072,2.061120219303679,1033.379430748273,506227067.7692871,20.0,-15.085277512170933
2015-05-13,1022.7874755859375,1035.6364003553113,1008.5764659180008,1035.6364003553113,1863774,TCS,1906244704.522705,-1.2406791384471885,27.059934437310403,2.6457045166502677,1029.2119379706244,381248940.904541,20.0,-12.848924769373752
2015-05-14,1016.2206420898438,1024.657804567933,1010.426446171156,1024.657804567933,1309050,TCS,1330283631.52771,-0.8234126984127099,14.231358396776955,1.4004201260378222,1020.4392233288884,266056726.305542,20.0,-8.437162478089249
2015-05-15,1021.05908203125,1029.6995480874232,1016.9320285406784,1022.624570883569,1461454,TCS,1492230879.6708984,-0.15308539388667672,12.76751954674478,1.2504192726385273,1021.8418264574095,298446175.9341797,20.0,-1.5654888523190493
2015-05-18,1024.8203125,1026.792411685971,1015.3463742178932,1022.2587476457365,4507752,TCS,4619635813.3125,0.2505789126444493,11.446037468077861,1.116882377180425,1023.5395300728683,923927162.6625,20.0,2.5615648542634517
2015-05-19,1021.6895141601562,1028.7238910557783,1015.2041007879504,1024.4137828713874,1957722,TCS,2000184039.0406494,-0.26593440627039927,13.51979026782783,1.3232777747495328,1023.0516485157718,400036807.8081299,20.0,-2.7242687112311614
2015-05-20,1039.722412109375,1044.9472925135112,1023.3969564662949,1024.657487528019,1897814,TCS,1973199749.8149414,1.4702400328621164,21.55033604721632,2.0727009244222487,1032.189949818697,394639949.9629883,20.0,15.064924581356081
2015-05-21,1039.0926513671875,1049.054604002091,1036.1040258686783,1039.7025668346305,1579578,TCS,1641327892.0612793,-0.05866249511145029,12.950578133412819,1.2463352634024578,1039.397609100909,328265578.4122559,20.0,-0.6099154674429883
2015-05-22,1064.4649658203125,1068.8767268736924,1032.485108402862,1036.8561687219842,2691632,TCS,2865147964.8808594,2.6627412683823395,36.39161847083051,3.4187708979962443,1050.6605672711485,573029592.9761719,20.0,27.608797098328296
2015-05-25,1057.5933837890625,1072.1906537611592,1051.3722263833436,1065.318979441501,982978,TCS,1039591029.2102051,-0.7251908396946611,20.818427377815624,1.968471786692632,1061.4561816152818,207918205.84204102,20.0,-7.725595652438415
2015-05-26,1060.78515625,1066.6403039533589,1052.6732026077418,1059.2196671298962,1961740,TCS,2080984672.421875,0.14779645513434997,13.967101345617039,1.3166757908823292,1060.002411689948,416196934.484375,20.0,1.565489120103848
2015-05-27,1063.3873291015625,1070.6656119978436,1053.9336419199885,1060.4394051417169,1620690,TCS,1723421210.4016113,0.27799079754601147,16.731970077855067,1.573459605917217,1061.9133671216396,344684242.08032227,20.0,2.947923959845639
2015-05-28,1061.049072265625,1066.5383087000323,1049.9689468702472,1058.7720159625933,2763608,TCS,2932323704.5058594,0.21506578080093142,16.569361829785066,1.5616018394328384,1059.9105441141091,586464740.9011719,20.0,2.2770563030317135
2015-05-29,1061.3748779296875,1076.9480721561144,1056.0685937007363,1064.0991470650984,4423532,TCS,4695025736.518066,-0.2560164758072292,20.87947845537815,1.9672105388536758,1062.737012497393,939005147.3036133,20.0,-2.72426913541085
2015-06-01,1064.4036865234375,1076.3377337568002,1060.5815909422522,1061.028802531085,882264,TCS,939085054.0869141,0.3180765672243573,15.756142814547957,1.4802788654378656,1062.716244527261,187817010.8173828,20.0,3.3748839923525793
2015-06-02,1057.1456298828125,1069.3846344182045,1053.323534395574,1063.6920926380317,3935820,TCS,4160734913.005371,-0.6154471581135375,16.061100022630626,1.5192892604977275,1060.418861260422,832146982.6010742,20.0,-6.546462755219181
2015-06-03,1061.6185302734375,1067.595779622744,1053.3237219108294,1058.8129596046322,1804684,TCS,1915885975.6879883,0.2649732082853377,14.272057711914613,1.3443678030222972,1060.2157449390347,383177195.1375977,20.0,2.8055706688053306
2015-06-04,1059.4840087890625,1066.4574344715538,1052.5106823766564,1064.1397757899144,4131468,TCS,4377224278.82373,-0.4375146110289832,13.94675209489742,1.3163721188050646,1061.8118922894885,875444855.7647462,20.0,-4.655767000851938
2015-06-05,1057.103759765625,1070.708156401643,1054.7029367390658,1063.7315221897504,2308534,TCS,2440359970.9467773,-0.6230672200520865,16.005219662577247,1.5140632615029042,1060.4176409776878,488071994.1893555,20.0,-6.627762424125422
2015-06-08,1057.7598876953125,1062.9103032185983,1051.2757044170226,1062.9103032185983,1570320,TCS,1661021506.8457031,-0.48455786981176396,11.634598801575748,1.0999281535363998,1060.3350954569555,332204301.3691406,20.0,-5.150415523285801
2015-06-09,1051.2757568359375,1062.9103562176401,1046.9051423595365,1060.8584057230114,2578914,TCS,2711149767.164795,-0.903291978965185,16.005213858103616,1.5224562874231102,1056.0670812794745,542229953.432959,20.0,-9.582648887073901
2015-06-10,1067.3223876953125,1071.1184973122238,1052.1584887776962,1053.0613272425924,2763350,TCS,2949385320.037842,1.3542478565861178,18.96000853452756,1.7764087733105862,1060.1918574689525,589877064.0075684,20.0,14.26106045272013
2015-06-11,1055.236083984375,1072.3493311128086,1049.2648879918383,1069.2714053633458,1847336,TCS,1949375606.4433594,-1.3126060706918017,23.084443120970263,2.187609338927049,1062.2537446738604,389875121.2886719,20.0,-14.03532137897082
2015-06-12,1028.3560791015625,1062.479993973336,1016.454759877033,1055.482819011359,2571456,TCS,2644372409.7421875,-2.5700787754371337,46.02523409630294,4.475612585138167,1041.9194490564607,528874481.9484375,20.0,-27.12673990979647
